Target Depth,Method,Avg. Lineages Detected,Original Dominant Abundance,Dominant Match Rate
Original,None,8.6,56.1%,100%
10000X,BBNorm,8.3,44.3%,83%
10000X,SeqKit,7.9,53.4%,100%
5000X,BBNorm,8.2,44.3%,83%
5000X,SeqKit,7.6,52.0%,92%
1000X,BBNorm,7.9,44.9%,83%
1000X,SeqKit,7.1,45.1%,67%
500X,BBNorm,8.2,40.3%,75%
500X,SeqKit,5.9,45.5%,67%
400X,BBNorm,7.8,42.4%,83%
400X,SeqKit,5.2,44.8%,67%
300X,BBNorm,7.2,41.6%,67%
300X,SeqKit,5.4,43.9%,67%
200X,BBNorm,6.1,38.6%,67%
200X,SeqKit,5.1,35.8%,50%
100X,BBNorm,6.7,47.0%,58%
100X,SeqKit,6.7,34.9%,50%
50X,BBNorm,5.9,47.5%,67%
50X,SeqKit,7.5,31.7%,50%
30X,BBNorm,5.2,47.4%,58%
30X,SeqKit,9.6,16.1%,25%
10X,BBNorm,4.2,40.8%,42%
10X,SeqKit,97.0,13.7%,27%
