Method,Depth,Mean_FRPERC_var
bbnorm,10,0.38954743084191684
bbnorm,100,0.34298631292673354
bbnorm,1000,0.44708507277712356
bbnorm,10000,0.9296468564952646
bbnorm,200,0.3543800793107155
bbnorm,30,0.34360288007005585
bbnorm,300,0.3649870489846755
bbnorm,400,0.3768100133493542
bbnorm,50,0.33725204770916273
bbnorm,500,0.38899352446783725
bbnorm,5000,0.7342222884676878
raw,all,1.107018216642967
seqkit,10,1.2093063444226386
seqkit,100,1.1199418815369135
seqkit,1000,1.1095753836541293
seqkit,10000,1.1060058561580512
seqkit,200,1.1152980106866763
seqkit,30,1.1416803397083466
seqkit,300,1.1133861098623625
seqkit,400,1.1109036839302626
seqkit,50,1.129241754258393
seqkit,500,1.1101834237834147
seqkit,5000,1.1058973246970318
