bbmap stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_method_depth,Reads Used,Reads Used (bases),Mapping Time (s),Reads/sec,kBases/sec,Mated pairs (pct pairs),Mated pairs (num pairs),Mated pairs (pct bases),Mated pairs (num bases),Bad pairs (pct pairs),Bad pairs (num pairs),Bad pairs (pct bases),Bad pairs (num bases),insert size avg,Read 1 mapped (pct reads),Read 1 mapped (num reads),Read 1 mapped (pct bases),Read 1 mapped (num bases),Read 1 unambiguous (pct reads),Read 1 unambiguous (num reads),Read 1 unambiguous (pct bases),Read 1 unambiguous (num bases),Read 1 ambiguous (pct reads),Read 1 ambiguous (num reads),Read 1 ambiguous (pct bases),Read 1 ambiguous (num bases),Read 1 low-Q discards (pct reads),Read 1 low-Q discards (num reads),Read 1 low-Q discards (pct bases),Read 1 low-Q discards (num bases),Read 1 perfect best site (pct reads),Read 1 perfect best site (num reads),Read 1 perfect best site (pct bases),Read 1 perfect best site (num bases),Read 1 semiperfect site (pct reads),Read 1 semiperfect site (num reads),Read 1 semiperfect site (pct bases),Read 1 semiperfect site (num bases),Read 1 rescued (pct reads),Read 1 rescued (num reads),Read 1 Match Rate (pct bases),Read 1 Match Rate (num bases),Read 1 Error Rate (pct reads),Read 1 Error Rate (num reads),Read 1 Error Rate (pct bases),Read 1 Error Rate (num bases),Read 1 Sub Rate (pct reads),Read 1 Sub Rate (num reads),Read 1 Sub Rate (pct bases),Read 1 Sub Rate (num bases),Read 1 Del Rate (pct reads),Read 1 Del Rate (num reads),Read 1 Del Rate (pct bases),Read 1 Del Rate (num bases),Read 1 Ins Rate (pct reads),Read 1 Ins Rate (num reads),Read 1 Ins Rate (pct bases),Read 1 Ins Rate (num bases),Read 1 N Rate (pct reads),Read 1 N Rate (num reads),Read 1 N Rate (pct bases),Read 1 N Rate (num bases),Read 2 mapped (pct reads),Read 2 mapped (num reads),Read 2 mapped (pct bases),Read 2 mapped (num bases),Read 2 unambiguous (pct reads),Read 2 unambiguous (num reads),Read 2 unambiguous (pct bases),Read 2 unambiguous (num bases),Read 2 ambiguous (pct reads),Read 2 ambiguous (num reads),Read 2 ambiguous (pct bases),Read 2 ambiguous (num bases),Read 2 low-Q discards (pct reads),Read 2 low-Q discards (num reads),Read 2 low-Q discards (pct bases),Read 2 low-Q discards (num bases),Read 2 perfect best site (pct reads),Read 2 perfect best site (num reads),Read 2 perfect best site (pct bases),Read 2 perfect best site (num bases),Read 2 semiperfect site (pct reads),Read 2 semiperfect site (num reads),Read 2 semiperfect site (pct bases),Read 2 semiperfect site (num bases),Read 2 rescued (pct reads),Read 2 rescued (num reads),Read 2 Match Rate (pct bases),Read 2 Match Rate (num bases),Read 2 Error Rate (pct reads),Read 2 Error Rate (num reads),Read 2 Error Rate (pct bases),Read 2 Error Rate (num bases),Read 2 Sub Rate (pct reads),Read 2 Sub Rate (num reads),Read 2 Sub Rate (pct bases),Read 2 Sub Rate (num bases),Read 2 Del Rate (pct reads),Read 2 Del Rate (num reads),Read 2 Del Rate (pct bases),Read 2 Del Rate (num bases),Read 2 Ins Rate (pct reads),Read 2 Ins Rate (num reads),Read 2 Ins Rate (pct bases),Read 2 Ins Rate (num bases),Read 2 N Rate (pct reads),Read 2 N Rate (num reads),Read 2 N Rate (pct bases),Read 2 N Rate (num bases),sample,method,depth
UT-UPHL-240124124876_bbnorm_10,7676,1009235,1.917,4004.29,526.48,68.0302,2611,69.4891,701308,0.0521,2,0.0598,604,228.38,68.5774,2632,70.1508,353503,68.5774,2632,70.1508,353503,0,0,0,0,0,0,0,0,21.2611,816,22.0714,111222,21.2611,816,22.0714,111222,1.1725,45,95.6153,343735,68.997,1816,4.3847,15763,68.3131,1798,2.6796,9633,2.5836,68,1.6676,5995,0.6839,18,0.0376,135,0,0,0,0,68.1605,2616,69.711,352261,68.1605,2616,69.711,352261,0,0,0,0,0,0,0,0,31.9958,1228,30.815,155713,31.9958,1228,30.815,155713,1.407,54,97.859,345544,53.0581,1388,2.141,7560,52.5994,1376,1.8762,6625,2.7141,71,0.2387,843,0.6881,18,0.0261,92,0,0,0,0,UT-UPHL-240124124876,bbnorm,10
UT-UPHL-240124124876_bbnorm_30,30836,4057833,3.566,8648.28,1138.06,85.5818,13195,86.2346,3499258,0.0065,1,0.0074,302,214.95,86.1007,13275,86.8846,1760085,86.1007,13275,86.8846,1760085,0,0,0,0,0,0,0,0,19.6134,3024,20.1427,408046,19.6134,3024,20.1427,408046,1.0702,165,94.2413,1703347,77.2128,10250,5.7578,104068,76.7985,10195,3.1205,56401,3.3371,443,2.6195,47346,0.4068,54,0.0178,321,0.0678,9,0.0009,16,85.6856,13211,86.4367,1756445,85.6856,13211,86.4367,1756445,0,0,0,0,0,0,0,0,35.5883,5487,33.1596,673823,35.5883,5487,33.1596,673823,1.4074,217,95.212,1720210,58.4362,7720,4.7868,86484,57.8609,7644,1.9529,35284,3.4365,454,2.7824,50270,0.6813,90,0.0515,930,0.0833,11,0.0012,21,UT-UPHL-240124124876,bbnorm,30
UT-UPHL-240124124876_bbnorm_50,65148,8660509,5.342,12196.17,1621.31,91.5792,29831,91.9515,7963470,0.0123,4,0.0139,1206,218.15,92.0489,29984,92.5643,4001777,92.0489,29984,92.5643,4001777,0,0,0,0,0,0,0,0,17.2039,5604,17.6785,764283,17.2039,5604,17.6785,764283,1.099,358,92.9307,3859862,81.3034,24378,7.0689,293604,81.0099,24290,3.4018,141292,3.2984,989,3.6525,151706,0.3302,99,0.0146,606,0.05,15,0.0004,17,91.702,29871,92.1838,3998260,91.702,29871,92.1838,3998260,0,0,0,0,0,0,0,0,34.6841,11298,31.9285,1384826,34.6841,11298,31.9285,1384826,1.3692,446,92.9841,3906273,62.164,18569,7.015,294703,61.7087,18433,2.1498,90312,3.3946,1014,4.8263,202752,0.6495,194,0.039,1639,0.0603,18,0.0009,36,UT-UPHL-240124124876,bbnorm,50
UT-UPHL-240124124876_bbnorm_100,136912,18390282,9.222,14845.73,1994.11,94.7937,64892,95.0255,17475458,0.0263,18,0.0295,5428,225.2,95.2641,65214,95.6538,8780921,95.2641,65214,95.6538,8780921,0,0,0,0,0,0,0,0,18.4381,12622,18.7773,1723733,18.4381,12622,18.7773,1723733,1.0591,725,91.5033,8461432,80.6407,52589,8.4952,785567,80.3294,52386,3.4362,317749,3.0607,1996,5.0417,466213,0.3987,260,0.0174,1605,0.0598,39,0.0015,135,94.9252,64982,95.278,8775474,94.9252,64982,95.278,8775474,0,0,0,0,0,0,0,0,34.0715,23324,31.3667,2888997,34.0715,23324,31.3667,2888997,1.4812,1014,92.5708,8556965,64.0947,41650,7.4272,686550,63.6792,41380,2.3203,214484,3.2163,2090,5.0653,468220,0.711,462,0.0416,3846,0.0692,45,0.0019,179,UT-UPHL-240124124876,bbnorm,100
UT-UPHL-240124124876_bbnorm_200,219544,29688367,12.4,17704.92,2394.19,96.0181,105401,96.205,28561690,0.0264,29,0.0294,8740,228.28,96.4681,105895,96.8053,14346260,96.4681,105895,96.8053,14346260,0,0,0,0,0,0,0,0,23.148,25410,23.3321,3457752,23.148,25410,23.3321,3457752,0.9984,1096,91.4513,13871646,75.9989,80479,8.5477,1296543,75.6476,80107,3.1106,471833,2.8736,3043,5.4197,822082,0.4193,444,0.0173,2628,0.0538,57,0.001,153,96.1466,105542,96.4501,14340830,96.1466,105542,96.4501,14340830,0,0,0,0,0,0,0,0,36.5658,40139,34.162,5079433,36.5658,40139,34.162,5079433,1.4011,1538,91.7667,13998961,61.9535,65387,8.2319,1255772,61.5281,64938,2.1992,335490,2.9941,3160,5.9922,914110,0.7002,739,0.0405,6172,0.0616,65,0.0014,207,UT-UPHL-240124124876,bbnorm,200
UT-UPHL-240124124876_bbnorm_300,274762,37222651,14.124,19453.76,2635.45,96.5563,132650,96.7152,35999946,0.024,33,0.0267,9942,227.17,97.0025,133263,97.3074,18081009,97.0025,133263,97.3074,18081009,0,0,0,0,0,0,0,0,27.0823,37206,27.1183,5038941,27.0823,37206,27.1183,5038941,0.9332,1282,92.0985,17537144,72.074,96048,7.9006,1504413,71.6816,95525,2.8381,540423,2.8215,3760,5.0453,960711,0.4022,536,0.0172,3279,0.0473,63,0.0009,163,96.6771,132816,96.9475,18072296,96.6771,132816,96.9475,18072296,0,0,0,0,0,0,0,0,39.1735,53817,36.9433,6886714,39.1735,53817,36.9433,6886714,1.316,1808,92.7503,17673166,59.468,78983,7.2485,1381168,59.0034,78366,2.0569,391931,2.901,3853,5.155,982271,0.6445,856,0.0366,6966,0.0557,74,0.0012,233,UT-UPHL-240124124876,bbnorm,300
UT-UPHL-240124124876_bbnorm_400,323930,43974059,15.377,21065.4,2859.66,96.9969,157101,97.1151,42705448,0.0265,43,0.0295,12958,225.91,97.439,157817,97.7015,21447741,97.439,157817,97.7015,21447741,0,0,0,0,0,0,0,0,30.5245,49439,30.4933,6693987,30.5245,49439,30.4933,6693987,0.8749,1417,93.0389,20860367,68.665,108365,6.9603,1560588,68.2081,107644,2.6019,583369,2.7716,4374,4.3414,973385,0.3948,623,0.0171,3834,0.0431,68,0.0008,171,97.1191,157299,97.3476,21437635,97.1191,157299,97.3476,21437635,0,0,0,0,0,0,0,0,41.5756,67338,39.4985,8698249,41.5756,67338,39.4985,8698249,1.1682,1892,93.1171,20998942,57.1796,89943,6.8818,1551913,56.6602,89126,1.9076,430187,2.8379,4464,4.9375,1113467,0.6351,999,0.0366,8259,0.0502,79,0.0011,247,UT-UPHL-240124124876,bbnorm,400
UT-UPHL-240124124876_bbnorm_500,370502,50325428,16.823,22023.15,2991.41,97.322,180290,97.4102,49022078,0.0211,39,0.0234,11754,223.92,97.7495,181082,97.9799,24616304,97.7495,181082,97.9799,24616304,0,0,0,0,0,0,0,0,33.073,61268,32.9516,8278709,33.073,61268,32.9516,8278709,0.8453,1566,93.3175,23991947,66.1601,119804,6.6818,1717882,65.7039,118978,2.4105,619730,2.7164,4919,4.254,1093703,0.3888,704,0.0173,4449,0.0409,74,0.0007,178,97.4338,180497,97.6302,24604367,97.4338,180497,97.6302,24604367,0,0,0,0,0,0,0,0,43.2991,80212,41.3209,10413526,43.2991,80212,41.3209,10413526,1.0575,1959,93.7999,24134175,55.5483,100263,6.1991,1594985,55.0297,99327,1.7918,461023,2.8056,5064,4.3726,1125051,0.5978,1079,0.0346,8911,0.0482,87,0.001,258,UT-UPHL-240124124876,bbnorm,500
UT-UPHL-240124124876_bbnorm_1000,586518,79850696,22.803,25721.19,3501.78,98.204,287992,98.2216,78430618,0.0228,67,0.0253,20166,218.66,98.5545,289020,98.7023,39351125,98.5545,289020,98.7023,39351125,0,0,0,0,0,0,0,0,41.106,120547,40.7754,16256554,41.106,120547,40.7754,16256554,0.7437,2181,95.1781,38597378,58.2852,168456,4.8214,1955207,57.7448,166894,1.8433,747501,2.6202,7573,2.9632,1201661,0.3304,955,0.0149,6045,0.0298,86,0.0005,201,98.3018,288279,98.4223,39351407,98.3018,288279,98.4223,39351407,0,0,0,0,0,0,0,0,48.9741,143621,47.312,18916378,48.9741,143621,47.312,18916378,0.7536,2210,95.5584,38764926,50.1691,144627,4.4409,1801526,49.5721,142906,1.4156,574280,2.7293,7868,2.9959,1215335,0.5037,1452,0.0294,11911,0.0371,107,0.0007,290,UT-UPHL-240124124876,bbnorm,1000
UT-UPHL-240124124876_bbnorm_5000,2436158,333221345,65.558,37160.24,5082.83,99.4351,1211198,99.3624,331096646,0.0142,173,0.0155,51684,208.31,99.6363,1213649,99.6741,165877179,99.6363,1213649,99.6741,165877179,0,0,0,0,0,0,0,0,54.0845,658792,53.2806,88669438,54.0845,658792,53.2806,88669438,0.4609,5614,97.733,164382814,45.7108,554769,2.2668,3812608,45.0832,547152,0.876,1473456,2.399,29116,1.3786,2318676,0.2578,3129,0.0122,20476,0.0184,223,0.0003,433,99.4769,1211707,99.4975,165963596,99.4769,1211707,99.4975,165963596,0,0,0,0,0,0,0,0,57.683,702624,56.432,94129626,57.683,702624,56.432,94129626,0.4469,5443,97.8784,164693859,42.0048,508975,2.1213,3569408,41.3395,500914,0.7386,1242726,2.4302,29447,1.367,2300194,0.2984,3616,0.0157,26488,0.0212,257,0.0003,523,UT-UPHL-240124124876,bbnorm,5000
