Analysis,Bam File,Sample,Method,Depth,SARS-CoV-2_1,SARS-CoV-2_2,SARS-CoV-2_3,SARS-CoV-2_4,SARS-CoV-2_5,SARS-CoV-2_6,SARS-CoV-2_7,SARS-CoV-2_8,SARS-CoV-2_9,SARS-CoV-2_10,SARS-CoV-2_11,SARS-CoV-2_12,SARS-CoV-2_13,SARS-CoV-2_14,SARS-CoV-2_15,SARS-CoV-2_16,SARS-CoV-2_17,SARS-CoV-2_18,SARS-CoV-2_19,SARS-CoV-2_20,SARS-CoV-2_21,SARS-CoV-2_22,SARS-CoV-2_23,SARS-CoV-2_24,SARS-CoV-2_25,SARS-CoV-2_26,SARS-CoV-2_27,SARS-CoV-2_28,SARS-CoV-2_29,SARS-CoV-2_30,SARS-CoV-2_31,SARS-CoV-2_32,SARS-CoV-2_33,SARS-CoV-2_34,SARS-CoV-2_35,SARS-CoV-2_36,SARS-CoV-2_37,SARS-CoV-2_38,SARS-CoV-2_39,SARS-CoV-2_40,SARS-CoV-2_41,SARS-CoV-2_42,SARS-CoV-2_43,SARS-CoV-2_44,SARS-CoV-2_45,SARS-CoV-2_46,SARS-CoV-2_47,SARS-CoV-2_48,SARS-CoV-2_49,SARS-CoV-2_50,SARS-CoV-2_51,SARS-CoV-2_52,SARS-CoV-2_53,SARS-CoV-2_54,SARS-CoV-2_55,SARS-CoV-2_56,SARS-CoV-2_57,SARS-CoV-2_58,SARS-CoV-2_59,SARS-CoV-2_60,SARS-CoV-2_61,SARS-CoV-2_62,SARS-CoV-2_63,SARS-CoV-2_64,SARS-CoV-2_65,SARS-CoV-2_66,SARS-CoV-2_67,SARS-CoV-2_68,SARS-CoV-2_69,SARS-CoV-2_70,SARS-CoV-2_71,SARS-CoV-2_72,SARS-CoV-2_73,SARS-CoV-2_74,SARS-CoV-2_75,SARS-CoV-2_76,SARS-CoV-2_77,SARS-CoV-2_78,SARS-CoV-2_79,SARS-CoV-2_80,SARS-CoV-2_81,SARS-CoV-2_82,SARS-CoV-2_83,SARS-CoV-2_84,SARS-CoV-2_85,SARS-CoV-2_86,SARS-CoV-2_87,SARS-CoV-2_88,SARS-CoV-2_89,SARS-CoV-2_90,SARS-CoV-2_91,SARS-CoV-2_92,SARS-CoV-2_93,SARS-CoV-2_94,SARS-CoV-2_95,SARS-CoV-2_96
FPCOV-1,UT-UPHL-240124124876_bbnorm_10000_trimmed.sorted,UT-UPHL-240124124876,bbnorm,10000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,97.55,98.09,98.09,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_1000_trimmed.sorted,UT-UPHL-240124124876,bbnorm,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,96.73,97.28,97.82,100,97.28,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_100_trimmed.sorted,UT-UPHL-240124124876,bbnorm,100,100,100,98.03,100,100,100,98.87,100,100,100,100,100,100,100,98.86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.26,100,100,100,100,100,100,100,100,100,100,100,98.58,100,100,100,100,100,100,100,97.28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.14,100,100,100,100,100,100,100,97.55,100,95.91,97,94.82,96.63,97.01,100,100,100,95.44,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_10_trimmed.sorted,UT-UPHL-240124124876,bbnorm,10,98.53,99.71,86.24,96.22,89.97,85.06,84.7,93.71,87.5,85.8,84.39,94.15,100,94.25,83.43,93.07,71.86,100,93.41,93.69,100,99.41,100,99.11,100,87.87,100,96.51,98.55,86.92,83.05,84.3,93.15,96.19,98.82,100,99.4,97.63,97.13,100,96.28,100,92.18,85.19,90.06,100,88.43,96.46,86.76,83.67,99.12,80.11,100,99.16,90.53,100,94.02,98.24,43.71,97.43,97.74,100,100,100,83.29,97.35,89.15,90.93,93.88,100,94.46,100,91.86,100,93.57,93.43,100,91.55,49.57,97.69,97.39,91.76,90.62,92.1,92.69,83.38,87.19,92.92,65.73,85.87,93.1,100,92.96,80.16,83.62,89.8
FPCOV-1,UT-UPHL-240124124876_bbnorm_200_trimmed.sorted,UT-UPHL-240124124876,bbnorm,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.6,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,99.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.28,100,95.91,97.28,96.19,100,95.65,100,100,100,95.71,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_300_trimmed.sorted,UT-UPHL-240124124876,bbnorm,300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.88,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.72,100,100,100,100,100,97.55,100,96.73,97.28,96.46,100,97.55,100,100,100,96.25,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_30_trimmed.sorted,UT-UPHL-240124124876,bbnorm,30,100,100,96.91,97.38,97.64,100,99.43,100,100,96.31,100,100,100,100,93.71,100,99.4,100,100,100,100,100,100,98.52,100,100,98.03,98.55,100,100,85.63,92.44,100,100,100,100,100,100,94.84,100,97.13,100,95.25,90.88,98.01,100,100,100,100,95.13,100,92.1,100,100,100,100,100,100,98,100,100,100,100,100,98.87,100,90.32,99.15,100,100,100,100,100,100,97.95,97.71,100,98.87,100,100,100,100,100,94.01,100,95.64,90.74,88.56,90.73,88.59,100,100,98.03,92.23,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_400_trimmed.sorted,UT-UPHL-240124124876,bbnorm,400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,96.46,97.28,97.55,100,100,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_5000_trimmed.sorted,UT-UPHL-240124124876,bbnorm,5000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.09,100,97.55,97.82,98.37,100,97.83,100,100,100,100,100,100
FPCOV-1,UT-UPHL-240124124876_bbnorm_500_trimmed.sorted,UT-UPHL-240124124876,bbnorm,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.16,100,100,100,100,100,100,100,100,97.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.55,100,96.19,97.28,97.28,99.16,97.01,100,100,100,100,100,100
