Sample,SRA Accession,Collection Date,Number of reads R1,Number of reads R2,Total reads,Average Read Length,Expected coverage based on number of reads,,,
UT-UPHL-240124124876,SRR28228408,2023-12-12,"32,105,503","32,105,503","64,211,006",151,"323,195",,,
UT-UPHL-240124217603,SRR28242791,2023-12-14,"37,572,430","37,572,430","75,144,860",151,"378,229",,,
UT-UPHL-240124288971,SRR28446153,2023-12-14,"36,630,226","36,630,226","73,260,452",151,"368,744",,,
UT-UPHL-240124304140,SRR28445895,2023-12-31,"32,515,246","32,515,246","65,030,492",151,"327,320",,,
UT-UPHL-240124309144,SRR28445835,2023-12-14,"25,642,167","25,642,167","51,284,334",151,"258,131",,,
UT-UPHL-240124380152,SRR28262814,2023-12-16,"25,309,712","25,309,712","50,619,424",151,"254,784",,,
UT-UPHL-240124525108,SRR28262808,2023-12-24,"33,820,057","33,820,057","67,640,114",151,"340,455",,,
UT-UPHL-240124547518,SRR28262813,2023-12-14,"29,223,830","29,223,830","58,447,660",151,"294,187",,,
UT-UPHL-240124573433,SRR28446063,2023-12-20,"29,036,254","29,036,254","58,072,508",151,"292,298",,,
UT-UPHL-240124579148,SRR28446053,2023-12-14,"30,856,585","30,856,585","61,713,170",151,"310,623",,,
UT-UPHL-240124582725,SRR28446049,2023-12-08,"29,868,686","29,868,686","59,737,372",151,"300,678",,,
UT-UPHL-240124592462,SRR28446040,2023-12-14,"28,342,439","28,342,439","56,684,878",151,"285,314",,,
UT-UPHL-240124601540,SRR28445962,2023-12-19,"49,055,717","49,055,717","98,111,434",151,"493,828",,,
UT-UPHL-240124613159,SRR28445891,2023-12-19,"27,580,260","27,580,260","55,160,520",151,"277,641",,,
UT-UPHL-240124677630,SRR28446008,2023-12-17,"26,034,211","26,034,211","52,068,422",151,"262,078",,,
UT-UPHL-240124724165,SRR28445841,2023-12-07,"47,614,945","47,614,945","95,229,890",151,"479,324",,,
UT-UPHL-240124869327,SRR28311374,2023-12-23,"27,137,663","27,137,663","54,275,326",151,"273,186",,,
UT-UPHL-240124954752,SRR28446123,2023-12-20,"26,479,547","26,479,547","52,959,094",151,"266,561",,,
UT-UPHL-240207123159,SRR28354304,2024-01-03,"26,197,837","26,197,837","52,395,674",151,"263,725",,,
UT-UPHL-240207135307,SRR28373751,2024-02-02,"31,347,941","31,347,941","62,695,882",151,"315,569",,,
UT-UPHL-240207141507,SRR28354471,2024-01-02,"27,108,267","27,108,267","54,216,534",151,"272,890",,,
UT-UPHL-240207150620,SRR28373721,2024-01-25,"30,207,037","30,207,037","60,414,074",151,"304,084",,,
UT-UPHL-240207159875,SRR28373780,2024-01-23,"27,682,197","27,682,197","55,364,394",151,"278,667",,,
UT-UPHL-240207168187,SRR28281578,2024-01-12,"34,289,321","34,289,321","68,578,642",151,"345,179",,,
UT-UPHL-240207205303,SRR28354360,2023-12-20,"37,408,265","37,408,265","74,816,530",151,"376,577",,,
UT-UPHL-240207213892,SRR28373741,2024-01-29,"65,693,296","65,693,296","131,386,592",151,"661,313",,,
UT-UPHL-240207214721,SRR28354466,2024-01-03,"33,354,098","33,354,098","66,708,196",151,"335,765",,,
UT-UPHL-240207268817,SRR28354455,2024-01-03,"27,464,455","27,464,455","54,928,910",151,"276,476",,,
UT-UPHL-240207285691,SRR28373770,2024-01-25,"25,696,717","25,696,717","51,393,434",151,"258,680",,,
UT-UPHL-240207302938,SRR28354469,2024-01-02,"31,515,780","31,515,780","63,031,560",151,"317,259",,,
UT-UPHL-240207324213,SRR28335115,2024-01-10,"27,680,355","27,680,355","55,360,710",151,"278,649",,,
UT-UPHL-240207354916,SRR28354465,2024-01-03,"27,971,761","27,971,761","55,943,522",151,"281,582",,,
UT-UPHL-240207379719,SRR28373777,2024-01-24,"59,006,993","59,006,993","118,013,986",151,"594,004",,,
UT-UPHL-240207381263,SRR28354456,2024-01-03,"32,891,447","32,891,447","65,782,894",151,"331,107",,,
UT-UPHL-240207447394,SRR28335134,2024-01-17,"27,608,379","27,608,379","55,216,758",151,"277,924",,,
UT-UPHL-240207487206,SRR28354361,2023-12-20,"35,658,367","35,658,367","71,316,734",151,"358,961",,,
UT-UPHL-240207499241,SRR28354358,2023-12-20,"27,315,339","27,315,339","54,630,678",151,"274,974",,,
UT-UPHL-240207530727,SRR28373767,2024-02-04,"24,983,938","24,983,938","49,967,876",151,"251,505",,,
UT-UPHL-240207532640,SRR28373720,2024-01-26,"25,066,165","25,066,165","50,132,330",151,"252,333",,,
UT-UPHL-240207572380,SRR28354303,2024-01-02,"41,394,172","41,394,172","82,788,344",151,"416,701",,,
UT-UPHL-240207594676,SRR28373760,2024-02-04,"27,105,205","27,105,205","54,210,410",151,"272,859",,,
UT-UPHL-240207636500,SRR28354467,2024-01-03,"27,391,796","27,391,796","54,783,592",151,"275,744",,,
UT-UPHL-240207648366,SRR28335051,2024-01-12,"28,895,870","28,895,870","57,791,740",151,"290,885",,,
UT-UPHL-240207658810,SRR28335128,2024-01-17,"25,498,530","25,498,530","50,997,060",151,"256,685",,,
UT-UPHL-240207702661,SRR28373771,2024-01-21,"70,233,449","70,233,449","140,466,898",151,"707,017",,,
UT-UPHL-240207709838,SRR28373730,2024-01-29,"50,725,301","50,725,301","101,450,602",151,"510,635",,,
UT-UPHL-240207726835,SRR28335060,2024-01-13,"26,954,106","26,954,106","53,908,212",151,"271,338",,,
UT-UPHL-240207765559,SRR28354397,2024-01-04,"28,225,102","28,225,102","56,450,204",151,"284,133",,,
UT-UPHL-240207794398,SRR28354377,2023-12-27,"29,748,419","29,748,419","59,496,838",151,"299,467",,,
UT-UPHL-240207797602,SRR28354449,2023-12-18,"31,853,666","31,853,666","63,707,332",151,"320,660",,,
UT-UPHL-250307134790,SRR32779682,2025-02-28,"579,562","579,562","1,159,124",151,"5,834",,,
UT-UPHL-250307138642,SRR32779660,2025-02-26,"542,830","542,830","1,085,660",151,"5,464",,,
UT-UPHL-250307159619,SRR32779675,2025-03-03,"1,101,971","1,101,971","2,203,942",151,"11,093",,,
UT-UPHL-250307184242,SRR32779656,2025-02-26,"165,418","165,418","330,836",151,"1,665",,,
UT-UPHL-250307191545,SRR32779651,2025-02-27,"1,808,274","1,808,274","3,616,548",151,"18,203",,,
UT-UPHL-250307219795,SRR32779681,2025-02-22,"1,371,820","1,371,820","2,743,640",151,"13,810",,,
UT-UPHL-250307250151,SRR32779665,2025-03-01,"886,854","886,854","1,773,708",151,"8,928",,,
UT-UPHL-250307254868,SRR32779676,2025-02-28,"265,253","265,253","530,506",151,"2,670",,,
UT-UPHL-250307262641,SRR32779672,2025-02-14,"1,241,621","1,241,621","2,483,242",151,"12,499",,,
UT-UPHL-250307274328,SRR32779648,2025-02-28,"1,340,553","1,340,553","2,681,106",151,"13,495",,,
UT-UPHL-250307308974,SRR32779668,2025-02-26,"293,390","293,390","586,780",151,"2,953",,,
UT-UPHL-250307331967,SRR32779650,2025-03-01,"1,200,285","1,200,285","2,400,570",151,"12,083",,,
UT-UPHL-250307365532,SRR32779653,2025-02-27,"1,107,376","1,107,376","2,214,752",151,"11,148",,,
UT-UPHL-250307370982,SRR32779670,2025-02-25,"1,213,500","1,213,500","2,427,000",151,"12,216",,,
UT-UPHL-250307390679,SRR32779678,2025-02-17,"284,940","284,940","569,880",151,"2,868",,,
UT-UPHL-250307401691,SRR32779649,2025-02-21,"1,151,519","1,151,519","2,303,038",151,"11,592",,,
UT-UPHL-250307411979,SRR32779683,2025-02-17,"1,358,051","1,358,051","2,716,102",151,"13,671",,,
UT-UPHL-250307414835,SRR32779673,2025-03-03,"166,237","166,237","332,474",151,"1,673",,,
UT-UPHL-250307441687,SRR32779680,2025-03-01,"1,041,410","1,041,410","2,082,820",151,"10,484",,,
UT-UPHL-250307446159,SRR32779667,2025-02-24,"501,009","501,009","1,002,018",151,"5,043",,,
UT-UPHL-250307456796,SRR32779662,2025-02-18,"177,647","177,647","355,294",151,"1,788",,,
UT-UPHL-250307501177,SRR32779684,2025-02-27,"1,314,357","1,314,357","2,628,714",151,"13,231",,,
UT-UPHL-250307504809,SRR32779674,2025-02-17,"155,058","155,058","310,116",151,"1,561",,,
UT-UPHL-250307650876,SRR32779686,2025-02-24,"1,487,144","1,487,144","2,974,288",151,"14,971",,,
UT-UPHL-250307664894,SRR32779661,2025-02-23,"375,606","375,606","751,212",151,"3,781",,,
UT-UPHL-250307701263,SRR32779677,2025-02-28,"1,810,986","1,810,986","3,621,972",151,"18,231",,,
UT-UPHL-250307704821,SRR32779687,2025-02-21,"1,252,719","1,252,719","2,505,438",151,"12,611",,,
UT-UPHL-250307741177,SRR32779658,2025-03-01,"233,837","233,837","467,674",151,"2,354",,,
UT-UPHL-250307752210,SRR32779664,2025-03-01,"1,875,017","1,875,017","3,750,034",151,"18,875",,,
UT-UPHL-250307791438,SRR32779663,2025-02-26,"336,812","336,812","673,624",151,"3,391",,,
UT-UPHL-250307835227,SRR32779671,2025-02-25,"1,055,447","1,055,447","2,110,894",151,"10,625",,,
UT-UPHL-250307844892,SRR32779659,2025-02-27,"719,813","719,813","1,439,626",151,"7,246",,,
UT-UPHL-250307863497,SRR32779657,2025-02-18,"913,160","913,160","1,826,320",151,"9,192",,,
UT-UPHL-250307865779,SRR32779652,2025-02-26,"1,915,266","1,915,266","3,830,532",151,"19,280",,,
UT-UPHL-250307871423,SRR32779669,2025-03-01,"1,007,766","1,007,766","2,015,532",151,"10,145",,,
UT-UPHL-250307881117,SRR32779685,2025-02-27,"1,434,184","1,434,184","2,868,368",151,"14,437",,,
UT-UPHL-250307937662,SRR32779679,2025-02-25,"1,566,824","1,566,824","3,133,648",151,"15,773",,,
UT-UPHL-250328004618,SRR33203928,2025-02-25,"1,445,779","1,445,779","2,891,558",151,"14,554",,,
UT-UPHL-250328021468,SRR33203936,2025-03-02,"282,857","282,857","565,714",151,"2,847",,,
UT-UPHL-250328073349,SRR33203953,2025-03-09,"403,903","403,903","807,806",151,"4,066",,,
UT-UPHL-250328081009,SRR33203933,2025-03-15,"761,597","761,597","1,523,194",151,"7,667",,,
UT-UPHL-250328102207,SRR33203979,2025-02-26,"1,216,795","1,216,795","2,433,590",151,"12,249",,,
UT-UPHL-250328107108,SRR33203930,2025-02-23,"904,377","904,377","1,808,754",151,"9,104",,,
UT-UPHL-250328141280,SRR33203978,2025-02-27,"314,675","314,675","629,350",151,"3,168",,,
UT-UPHL-250328154532,SRR33203946,2025-03-07,"1,404,479","1,404,479","2,808,958",151,"14,138",,,
UT-UPHL-250328155192,SRR33203972,2025-03-05,"251,288","251,288","502,576",151,"2,530",,,
UT-UPHL-250328164431,SRR33203950,2025-03-02,"1,353,300","1,353,300","2,706,600",151,"13,623",,,
UT-UPHL-250328168923,SRR33203944,2025-03-06,"1,101,807","1,101,807","2,203,614",151,"11,092",,,
UT-UPHL-250328169790,SRR33203971,2025-03-02,"104,440","104,440","208,880",151,"1,051",,,
UT-UPHL-250328212660,SRR33203931,2025-02-21,"237,982","237,982","475,964",151,"2,396",,,
UT-UPHL-250328230324,SRR33203976,2025-02-27,"233,006","233,006","466,012",151,"2,346",,,
UT-UPHL-250328257261,SRR33203942,2025-03-06,"1,571,138","1,571,138","3,142,276",151,"15,816",,,
UT-UPHL-250328260822,SRR33203968,2025-03-03,"75,237","75,237","150,474",151,757,,,
UT-UPHL-250328292736,SRR33203947,2025-03-03,"268,683","268,683","537,366",151,"2,705",,,
UT-UPHL-250328294119,SRR33203961,2025-03-10,"1,774,173","1,774,173","3,548,346",151,"17,860",,,
UT-UPHL-250328344586,SRR33203948,2025-03-04,"847,073","847,073","1,694,146",151,"8,527",,,
UT-UPHL-250328386295,SRR33203975,2025-03-06,"1,573,131","1,573,131","3,146,262",151,"15,836",,,
UT-UPHL-250328390823,SRR33203949,2025-03-02,"1,234,366","1,234,366","2,468,732",151,"12,426",,,
UT-UPHL-250328411364,SRR33203954,2025-03-10,"443,805","443,805","887,610",151,"4,468",,,
UT-UPHL-250328416382,SRR33203932,2025-03-16,"366,948","366,948","733,896",151,"3,694",,,
UT-UPHL-250328418594,SRR33203956,2025-03-07,"872,409","872,409","1,744,818",151,"8,782",,,
UT-UPHL-250328420527,SRR33203941,2025-03-06,"1,236,832","1,236,832","2,473,664",151,"12,451",,,
UT-UPHL-250328422211,SRR33203929,2025-02-24,"398,251","398,251","796,502",151,"4,009",,,
UT-UPHL-250328423735,SRR33203977,2025-02-27,"374,989","374,989","749,978",151,"3,775",,,
UT-UPHL-250328442211,SRR33203937,2025-03-14,"1,145,720","1,145,720","2,291,440",151,"11,534",,,
UT-UPHL-250328463582,SRR33203981,2025-02-25,"473,034","473,034","946,068",151,"4,762",,,
UT-UPHL-250328502091,SRR33203969,2025-03-02,"626,261","626,261","1,252,522",151,"6,304",,,
UT-UPHL-250328504539,SRR34909700,2025-03-13,"423,572","423,572","847,144",151,"4,264",,,
UT-UPHL-250328574534,SRR33203951,2025-03-01,"178,808","178,808","357,616",151,"1,800",,,
UT-UPHL-250328588022,SRR33203963,2025-03-10,"373,398","373,398","746,796",151,"3,759",,,
UT-UPHL-250328616516,SRR33203964,2025-03-07,"621,216","621,216","1,242,432",151,"6,254",,,
UT-UPHL-250328617723,SRR33203935,2025-03-14,"1,043,456","1,043,456","2,086,912",151,"10,504",,,
UT-UPHL-250328618293,SRR33203973,2025-03-05,"1,721,808","1,721,808","3,443,616",151,"17,333",,,
UT-UPHL-250328632595,SRR33203967,2025-03-08,"1,536,146","1,536,146","3,072,292",151,"15,464",,,
UT-UPHL-250328640609,SRR33203952,2025-02-28,"1,379,419","1,379,419","2,758,838",151,"13,886",,,
UT-UPHL-250328680105,SRR33203966,2025-03-07,"145,271","145,271","290,542",151,"1,462",,,
UT-UPHL-250328704886,SRR33203974,2025-03-01,"485,465","485,465","970,930",151,"4,887",,,
UT-UPHL-250328730531,SRR33203934,2025-03-14,"128,952","128,952","257,904",151,"1,298",,,
UT-UPHL-250328744110,SRR33203957,2025-03-09,"285,473","285,473","570,946",151,"2,874",,,
UT-UPHL-250328761162,SRR33203962,2025-03-09,"1,168,745","1,168,745","2,337,490",151,"11,765",,,
UT-UPHL-250328785520,SRR33203970,2025-03-03,"111,754","111,754","223,508",151,"1,125",,,
UT-UPHL-250328804444,SRR33203959,2025-03-07,"742,046","742,046","1,484,092",151,"7,470",,,
UT-UPHL-250328807183,SRR33203943,2025-03-06,"234,927","234,927","469,854",151,"2,365",,,
UT-UPHL-250328843365,SRR33203958,2025-03-02,"966,801","966,801","1,933,602",151,"9,732",,,
UT-UPHL-250328872024,SRR33203940,2025-03-06,"1,228,426","1,228,426","2,456,852",151,"12,366",,,
