	summarized	lineages	abundances	resid	coverage
240905-CWSD19-UT_variants.tsv	[('XEC* (XEC.X)', 0.9200283035993434), ('BA.2.86* (BA.2.86.X)', 0.035118500145724256), ('KP.3.1.1* (KP.3.1.1.X)', 0.029615412945553032), ('KP.3* (KP.3.X)', 0.002783605643568705)]	XEC.20 JN.1.16.5 XEC.4 MC.11 MC.42 MC.19 XEC.25 KP.3.6 XEC.7 KP.2.1 MC.11.1 XEC.3 KP.2.3.2	0.89428333 0.03177626 0.01647563 0.01611619 0.00636797 0.00490919 0.00450429 0.00278361 0.00263163 0.00226228 0.00222206 0.00213342 0.00107996	14.408214188592344	99.73581246028826
240905-CWSD19-UT_bbnorm_10_variants.tsv	[('XEC* (XEC.X)', 0.8999845548766695), ('KP.3* (KP.3.X)', 0.0714264222920324), ('Other', 0.02857197369353925)]	XEC.20 KP.3.6 XEV	0.89998455 0.07142642 0.02857197	7.738549324089248	99.52847540380564
240905-CWSD19-UT_seqkit_10_variants.tsv	[('XEC* (XEC.X)', 0.9285695004916678), ('BA.2.86* (BA.2.86.X)', 0.07142836407196326)]	LF.9.1 XEC.8.1 XEC.5.1 XEC.15 XEC.3 XEC.8 XEC.16 XEC.12 XEC.20 XEC.13 XEC.6 XEC.5 XEC.28 XEC.25 XEC.10 XEC.17	0.07142836 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463 0.06190463	1.423719319099903	13.583921345684379
240905-CWSD19-UT_bbnorm_30_variants.tsv	[('XEC* (XEC.X)', 0.8490501186973786), ('KP.3.1.1* (KP.3.1.1.X)', 0.09302254226829157), ('KP.3* (KP.3.X)', 0.04490882224389962), ('BA.2.86* (BA.2.86.X)', 0.013012063745004682)]	XEC.20 MC.42 MC.11 KP.3.6 XEC.4 JN.1.16.5	0.83086716 0.04756879 0.04545376 0.04490882 0.01818296 0.01301206	11.650030825160183	99.67561783098685
240905-CWSD19-UT_seqkit_30_variants.tsv	[('XEC* (XEC.X)', 0.8472208266233567), ('KP.3* (KP.3.X)', 0.06524443488227513), ('BA.2.86* (BA.2.86.X)', 0.05975358333687297), ('Other', 0.027777255302773453)]	XEC.8.1 XEC.15 XEC.5.1 XEC.12 XEC.8 XEC.13 XEC.20 XEC.5 XEC.25 XEC.17 XEC.10 KP.3.1.10 LF.9.1 XEW JN.1.16.5 KP.3.1 KP.3.3	0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.07702008 0.04871303 0.03461995 0.02777726 0.02513364 0.00842307 0.00810834	2.560846718968098	34.97642377019028
240905-CWSD19-UT_bbnorm_50_variants.tsv	[('XEC* (XEC.X)', 0.8659537077994418), ('KP.3.1.1* (KP.3.1.1.X)', 0.10896686879795639), ('BA.2.86* (BA.2.86.X)', 0.024390674382128615)]	XEC.20 MC.11 MC.42 KS.1.1 JN.1.16.5	0.86595371 0.05633714 0.05262972 0.01638049 0.00801018	11.342917624896874	99.67896197705916
240905-CWSD19-UT_seqkit_50_variants.tsv	[('XEC* (XEC.X)', 0.8877962745400578), ('KP.3* (KP.3.X)', 0.05334309039097997), ('BA.2.86* (BA.2.86.X)', 0.03754692820802968), ('Other', 0.021268499076137166)]	XEC.15 XEC.13 XEC.20 XEC.5 XEC.17 XEC.10 XEC.8 KP.3.1.10 JN.1.16.5 XEW LF.9.1	0.12682804 0.12682804 0.12682804 0.12682804 0.12682804 0.12682804 0.12682804 0.05334309 0.03207403 0.02126850 0.00547290	2.7018696146518746	43.94876768217236
240905-CWSD19-UT_bbnorm_100_variants.tsv	[('XEC* (XEC.X)', 0.8251923931277179), ('BA.2.86* (BA.2.86.X)', 0.06711415773088253), ('KP.3.1.1* (KP.3.1.1.X)', 0.06521736149830126), ('Other', 0.0424744963635318)]	XEC.20 MC.11 JN.1.16.5 XEW XEC.4 KS.1.1	0.80914916 0.06521736 0.05612528 0.04247450 0.01604324 0.01098888	13.83884091927065	99.67896197705916
240905-CWSD19-UT_seqkit_100_variants.tsv	[('XEC* (XEC.X)', 0.9248956214069342), ('KP.3* (KP.3.X)', 0.0648989216676069), ('KP.3.1.1* (KP.3.1.1.X)', 0.009174288298878867), ('Other', 0.001029412588383826)]	XEC.20 KP.3.1.10 KP.3 KP.3.6 MC.11 XEW	0.92489562 0.03124991 0.01682451 0.01682451 0.00917429 0.00102941	3.1965610815056404	54.90084606895629
240905-CWSD19-UT_bbnorm_200_variants.tsv	[('XEC* (XEC.X)', 0.8286797746281722), ('KP.3.1.1* (KP.3.1.1.X)', 0.06630819092295351), ('BA.2.86* (BA.2.86.X)', 0.0573468262672523), ('Other', 0.047662527783562184)]	XEC.20 JN.1.16.5 MC.11 XEV XEC.4 MC.19 XEW MC.42	0.80320163 0.05734683 0.04580141 0.03009962 0.02547814 0.01908097 0.01756291 0.00142581	14.077746735273626	99.67896197705916
240905-CWSD19-UT_seqkit_200_variants.tsv	[('XEC* (XEC.X)', 0.9176326160069327), ('KP.3* (KP.3.X)', 0.0748288788918069), ('KP.3.1.1* (KP.3.1.1.X)', 0.007519764292606035)]	XEC.20 KP.3.6 KP.3.1.10 KP.3.1 MC.11 MC.1.1	0.91763262 0.04531148 0.01999927 0.00951813 0.00613256 0.00138721	4.166555765339306	61.13767849379661
240905-CWSD19-UT_bbnorm_300_variants.tsv	[('XEC* (XEC.X)', 0.8849696610944858), ('KP.3.1.1* (KP.3.1.1.X)', 0.08024672389448236), ('BA.2.86* (BA.2.86.X)', 0.034776702618278595)]	XEC.20 MC.42 JN.1.16.5 MC.11 XEC.4 MC.19 KP.2.1 XEC.3	0.86483584 0.04428160 0.03235793 0.02702664 0.01771852 0.00893849 0.00241877 0.00241531	14.59883200884287	99.67896197705916
240905-CWSD19-UT_seqkit_300_variants.tsv	[('XEC* (XEC.X)', 0.9162908015207439), ('KP.3* (KP.3.X)', 0.06982048171689127), ('Omicron', 0.008196522642630542), ('KP.3.1.1* (KP.3.1.1.X)', 0.005680875565478683)]	XEC.20 KP.3.6 KP.3.1.10 XEH KP.3.1 MC.1.1 XEC.27 XEC.4	0.91062821 0.03264441 0.03030245 0.00819652 0.00687362 0.00568088 0.00393652 0.00172607	4.4510260626852505	67.1069792328529
240905-CWSD19-UT_bbnorm_400_variants.tsv	[('XEC* (XEC.X)', 0.872134093703811), ('KP.3.1.1* (KP.3.1.1.X)', 0.06778170263390779), ('BA.2.86* (BA.2.86.X)', 0.04718896170437031), ('KP.3* (KP.3.X)', 0.011904861298401062)]	XEC.20 JN.1.16.5 MC.11 XEC.4 MC.42 MC.19 KP.3.6 KP.2.3.2 KP.3.1.6 MC.23 KP.2.20 XEC.36 LF.5	0.85154846 0.04230137 0.02991150 0.01923397 0.01808640 0.01786419 0.00989053 0.00210970 0.00201433 0.00191961 0.00152638 0.00135166 0.00125151	13.868822361250139	99.67896197705916
240905-CWSD19-UT_seqkit_400_variants.tsv	[('XEC* (XEC.X)', 0.9283583919728454), ('KP.3* (KP.3.X)', 0.06196108491893354), ('Omicron', 0.005555482307789976), ('KP.3.1.1* (KP.3.1.1.X)', 0.003507926490481869)]	XEC.20 KP.3.1.10 KP.3.6 XEC.4 KP.3.1 XEH MC.1.1 XEC.27	0.91938289 0.03603546 0.02007185 0.00634432 0.00585377 0.00555548 0.00350793 0.00263118	5.540826999753568	74.74500886198709
240905-CWSD19-UT_bbnorm_500_variants.tsv	[('XEC* (XEC.X)', 0.8769094925152178), ('KP.3.1.1* (KP.3.1.1.X)', 0.066754673855673), ('BA.2.86* (BA.2.86.X)', 0.045224525303969074), ('KP.3* (KP.3.X)', 0.011096982578110277)]	XEC.20 JN.1.16.5 MC.11 MC.42 XEC.4 MC.19 KP.3.6 MC.11.1 KP.3.3 KP.2.1 XEC.3 KP.2.3.2 KP.3.1.6 MC.36 KP.2.3.5 MC.10 LF.5	0.86085970 0.03911368 0.02490117 0.02406133 0.01392691 0.01034890 0.00690433 0.00490870 0.00258009 0.00222648 0.00212288 0.00164743 0.00161256 0.00131689 0.00123591 0.00121769 0.00100103	14.75426571816133	99.67896197705916
240905-CWSD19-UT_seqkit_500_variants.tsv	[('XEC* (XEC.X)', 0.9399973469330648), ('KP.3* (KP.3.X)', 0.037168814012967656), ('KP.3.1.1* (KP.3.1.1.X)', 0.01705673837024679), ('Omicron', 0.0031948153186758554), ('BA.2.86* (BA.2.86.X)', 0.001868529180283517)]	XEC.20 KP.3.6 MC.11 KP.3.1.10 XEC.4 XEC.27 XEH MC.1.1 KP.2.3.6	0.92566018 0.02217363 0.01502449 0.01499518 0.01093613 0.00340103 0.00319482 0.00203225 0.00186853	6.661608268878723	82.4332006822058
240905-CWSD19-UT_bbnorm_1000_variants.tsv	[('XEC* (XEC.X)', 0.8953050708960635), ('KP.3.1.1* (KP.3.1.1.X)', 0.05591401881739937), ('BA.2.86* (BA.2.86.X)', 0.0354843734166321), ('KP.3* (KP.3.X)', 0.00815933102540843)]	XEC.20 JN.1.16.5 MC.11 XEC.4 MC.42 KP.3.6 MC.19 MC.11.1 KP.2.1 XEC.3 KP.2.3.2 LF.5	0.86740568 0.03053672 0.02715125 0.02578086 0.02070690 0.00815933 0.00558288 0.00247298 0.00222214 0.00211853 0.00160388 0.00112163	14.835558725240544	99.67896197705916
240905-CWSD19-UT_seqkit_1000_variants.tsv	[('XEC* (XEC.X)', 0.9183973494314784), ('KP.3* (KP.3.X)', 0.04096987944220054), ('KP.3.1.1* (KP.3.1.1.X)', 0.02109227282729168), ('BA.2.86* (BA.2.86.X)', 0.01501634066034692), ('Other', 0.0022321120999308397)]	XEC.20 KP.3.6 MC.11 XEC.4 MU.5 XEC.27 KP.3.1.10 XEZ KP.2.3.6 XEC.14 MC.1.1	0.89966517 0.03829708 0.02005174 0.01421301 0.01302844 0.00345422 0.00267280 0.00223211 0.00198790 0.00106495 0.00104054	8.97505388405825	95.4419289034545
