Aggregated Freyja results,,,,,,,
Sample,summarized,lineages,abundances,resid,coverage,primary lineage,primary lineage percentage
UT-UPHL-240124124876,"[('EG.5* [Omicron (EG.5.X)]', 0.9972346519079114)]",HV.1 HV.1.2,0.99485786 0.00237679,15.669704572918134,100,HV.1,0.99485786
UT-UPHL-240124217603,"[('BA.2.86* (BA.2.86.X)', 0.9923230591816056)]",JN.1.4.5,0.99232306,17.937072967074208,100,JN.1.4.5,0.99232306
UT-UPHL-240124288971,"[('BA.2.86* (BA.2.86.X)', 0.9904998309345953)]",JN.1.4.9,0.99049983,16.354058108601855,99.95652610106009,JN.1.4.9,0.99049983
UT-UPHL-240124304140,"[('EG.5* [Omicron (EG.5.X)]', 0.9962108605888046)]",HV.1.2,0.99621086,17.055665617192904,100,HV.1.2,0.99621086
UT-UPHL-240124309144,"[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.9963631454039287)]",XBB.1.16.6,0.99636315,16.858941858830203,99.94314951677089,XBB.1.16.6,0.99636315
UT-UPHL-240124380152,"[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.9975185557044218)]",XBB.1.16.15,0.99751856,17.639754788223733,99.92977293,XBB.1.16.15,0.99751856
UT-UPHL-240124525108,"[('XBB.2.3* (XBB.2.3.X)', 0.9970256012321892)]",GJ.1.2.2,0.9970256,18.231005586216757,100,GJ.1.2.2,0.9970256
UT-UPHL-240124547518,"[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9946217226933245)]",JD.1.1.7 JD.1.1,0.85918141 0.13544031,17.129667199531767,99.98662342,JD.1.1.7,0.85918141
UT-UPHL-240124573433,"[('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.9962131133949476)]",HN.1,0.99621311,19.304519652157154,100,HN.1,0.99621311
UT-UPHL-240124579148,"[('BA.2.86* (BA.2.86.X)', 0.9896268259175516)]",JN.1.4.5,0.98962683,23.23843488614844,100,JN.1.4.5,0.98962683
UT-UPHL-240124582725,"[('BA.2.86* (BA.2.86.X)', 0.9944391310183163)]",JN.13 JN.7 JN.15,0.98694640 0.00386695 0.00362578,19.389624478656202,100,JN.13,0.9869464
UT-UPHL-240124592462,"[('BA.2.86* (BA.2.86.X)', 0.9963200282862301)]",JN.1.1.9,0.99632003,21.392297680098125,100,JN.1.1.9,0.99632003
UT-UPHL-240124601540,"[('EG.5* [Omicron (EG.5.X)]', 0.9975938690585178)]",HK.26,0.99759387,13.866187213786596,100,HK.26,0.99759387
