method,depth,scorpio_support_pvalue,scorpio_conflict_pvalue,ambiguity_content_pvalue,scorpio_support_pvalue_adj,scorpio_conflict_pvalue_adj,ambiguity_content_pvalue_adj
bbnorm,10000,0.40044002604908646,0.8355760477490981,0.7979707431520339,0.6146288771916211,0.9847860562757227,0.9575648917824406
bbnorm,1000,0.0912619377916071,0.6293422282298347,0.5181550978495066,0.19429960949180866,0.8148413248413517,0.7439734705527625
bbnorm,100,0.0010133659555890562,0.5233948214069808,1.2609512521699314e-06,0.0037156751704932067,0.7439734705527625,6.935231886934623e-06
bbnorm,10,0.03882159049845255,0.10931156203412995,1.8800144032868057e-24,0.0883525852723403,0.22545509669539301,2.0680158436154863e-23
bbnorm,200,0.0005254084642846169,0.3455941654237137,0.00018081077254066235,0.002039821096634395,0.5430765456658359,0.0007955673991789144
bbnorm,300,0.0035363695912139074,0.2201337839183068,0.0032347072273316213,0.011114304429529423,0.3942032720376985,0.01067453385019435
bbnorm,30,0.013623456071547708,0.5638375326586968,1.563270540256927e-10,0.035965924028885946,0.7594546358259998,1.1463983961884132e-09
bbnorm,400,0.015601180542986672,0.7215836403996113,0.019556749223391012,0.03960299676296617,0.8985758540825349,0.04780538699051136
bbnorm,5000,0.17865677056974658,0.6296501146501354,0.8878587130097624,0.34680431934127276,0.8148413248413517,0.9999781687868793
bbnorm,500,0.006131001595783869,0.2759234120977176,0.11286839551128523,0.01686025438840564,0.455273629961234,0.22573679102257047
bbnorm,50,0.0038500304513104204,0.9981308270278082,1.0363181688244832e-09,0.011452344031537756,1.0,6.217909012946899e-09
seqkit,10000,0.9354676810611751,0.9151629786357321,0.6766350383126936,0.9999781687868793,0.9999781687868793,0.8588060101661111
seqkit,1000,0.9393734312846442,0.5268392858446481,0.9860520630123057,0.9999781687868793,0.7439734705527625,1.0
seqkit,100,4.5013906032162235e-06,0.22696552026412944,1.0081757024707291e-16,2.1220841415162195e-05,0.3942032720376985,9.505656623295445e-16
seqkit,10,6.340128913066747e-28,0.24027678227811758,2.230479323904155e-276,8.368970165248105e-27,0.40662224693219895,1.4721163537767423e-274
seqkit,200,0.003990968374626794,0.22149801290688925,9.3425010663461e-10,0.011452344031537756,0.3942032720376985,6.166050703788425e-09
seqkit,300,0.061044337854985115,0.5297992896360582,2.5598470320046332e-06,0.13429754328096727,0.7439734705527625,1.2996146470177369e-05
seqkit,30,1.1152175681989372e-40,0.00039948842901205156,1.8447839029680038e-73,2.453478650037662e-39,0.0016478897696747127,6.087786879794413e-72
seqkit,400,0.2843267956461881,0.8806461323502295,0.002738605645827483,0.4576967929914248,0.9999781687868793,0.00951305119076915
seqkit,5000,0.9101973830130765,1.0,0.7958928624778404,0.9999781687868793,1.0,0.9575648917824406
seqkit,500,0.9720709587587267,0.5592346260563992,0.1999591821062617,1.0,0.7594546358259998,0.3770658862575221
seqkit,50,6.684031926451896e-16,0.0358240023850879,3.951196966870195e-37,5.514326339322815e-15,0.08444229133627862,6.519474995335821e-36
