method,depth,p_value,p_value_corrected,is_significant
bbnorm,10,1.0769690017765778e-18,2.3693318039084712e-17,True
bbnorm,30,2.9755192103406416e-13,6.546142262749411e-12,True
bbnorm,50,2.3575235939824552e-12,5.186551906761402e-11,True
bbnorm,100,6.24636857387757e-10,1.3742010862530654e-08,True
bbnorm,200,2.2887251581224508e-08,5.035195347869392e-07,True
bbnorm,300,5.3720951569914305e-06,0.00011818609345381147,True
bbnorm,400,4.285880093092458e-05,0.0009428936204803407,True
bbnorm,500,0.0012835432051745612,0.028237950513840347,True
bbnorm,1000,0.012500753201639533,0.27501657043606975,False
bbnorm,5000,0.1318452581022944,1.0,False
bbnorm,10000,0.1318452581022944,1.0,False
seqkit,10,7.3710230224845484e-93,1.6216250649466008e-91,True
seqkit,30,7.905819981540503e-29,1.7392803959389107e-27,True
seqkit,50,1.5250627020804624e-14,3.3551379445770175e-13,True
seqkit,100,3.582642042435073e-08,7.88181249335716e-07,True
seqkit,200,2.195367077239753e-05,0.00048298075699274566,True
seqkit,300,0.0014158238874873333,0.03114812552472133,True
seqkit,400,0.19303861824763638,1.0,False
seqkit,500,0.3884607244682327,1.0,False
seqkit,1000,0.36620345573440416,1.0,False
seqkit,5000,1.0,1.0,False
seqkit,10000,1.0,1.0,False
