method,depth,pvalue_sum_cpu,pvalue_mean_cpu,pvalue_sum_time,pvalue_sum_memory,pvalue_mean_memory,pvalue_adj_sum_cpu,pvalue_adj_mean_cpu,pvalue_adj_sum_time,pvalue_adj_sum_memory,pvalue_adj_mean_memory
bbnorm,10,1.7548265875832083e-74,1.759430023140499e-145,7.22811463318878e-07,0.0,0.0,4.8257731158538225e-74,7.443742405594419e-145,1.137761546648473e-06,0.0,0.0
bbnorm,100,1.4537144942280292e-18,5.813616726961336e-21,1.0465672026103418e-06,3.738e-320,0.0,2.9074289884560585e-18,1.1842552591958278e-20,1.5989221150991333e-06,2.16416e-319,0.0
bbnorm,1000,1.5719768200561606e-86,2.028020696706023e-05,5.9754052241941085e-06,0.0,0.0,5.085807359005226e-86,2.7885284579707813e-05,8.536293177420155e-06,0.0,0.0
bbnorm,10000,7.841825853174521e-93,3.4598792068361566e-30,0.0023403680513564644,2.767669e-317,0.0,2.6139419510581737e-92,7.318975245230332e-30,0.00286044984054679,1.4957204e-316,0.0
bbnorm,200,8.702704605517228e-43,1.4894987552303695e-05,1.1725245957406534e-06,0.0,0.0,1.9536683808303983e-42,2.0739856085486157e-05,1.7668178839927653e-06,0.0,0.0
bbnorm,30,2.2801800972617765e-05,5.511114856326179e-82,7.240300751399374e-07,0.0,0.0,3.096540872824635e-05,1.638439551880756e-81,1.137761546648473e-06,0.0,0.0
bbnorm,300,7.587106114938102e-54,0.028034564753293648,1.6322995917318614e-06,0.0,0.0,1.8546259392070914e-53,0.03146736860063573,2.426391285006821e-06,0.0,0.0
bbnorm,400,1.3069030772457936e-62,0.8080166327420412,2.131458620768862e-06,0.0,0.0,3.343240430163658e-62,0.8080166327420412,3.1261393104609978e-06,0.0,0.0
bbnorm,50,0.03711045617550294,5.144728255052586e-52,1.0119332611809204e-06,1.688826341083304e-307,2.855466e-317,0.041233840195003264,1.2302611044690968e-51,1.5677839257732569e-06,8.444131705416519e-307,1.4957204e-316
bbnorm,500,2.4262372428814057e-70,0.4922092571107961,2.267144603102215e-06,0.0,0.0,6.509416993096454e-70,0.4967249383686933,3.2813935044900477e-06,0.0,0.0
bbnorm,5000,1.011956335172289e-113,2.4034330714044262e-35,0.00012575526191003917,0.0,0.0,3.8384550644466136e-113,5.183875252048763e-35,0.00016869608305005254,0.0,0.0
seqkit,10,2.531465060850937e-81,9.74085909017048e-174,8.094499575051621e-12,0.0031860714009873266,0.4092113559377186,7.327925176147449e-81,4.658671738777186e-173,1.5899909879565687e-11,0.003689135306406378,0.41678934401063933
seqkit,100,1.0895034370234192e-25,2.968109118013125e-101,8.984551451388004e-12,0.002642499326482663,0.37859374020433245,2.261233548539172e-25,1.0883066766048125e-100,1.6750858638181024e-11,0.0031595100642727494,0.3966220135473959
seqkit,1000,1.3991767481119954e-100,1.098244791515791e-46,1.484855585407368e-11,0.0008331279547921209,0.22685317123690651,4.96482071910708e-100,2.5168109805570212e-46,2.552095537418914e-11,0.0010910008931801583,0.24953848836059717
seqkit,10000,7.457176894338119e-148,0.021240424990415775,4.447894033348215e-10,9.249917687794154e-08,0.000992200488385515,3.2811578335087725e-147,0.024337986968184743,7.413156722247025e-10,1.4963102142019957e-07,0.001269093647934961
seqkit,200,1.2695413705441928e-35,6.90818596816294e-95,9.280669362120053e-12,0.002469924433142485,0.36997882269256366,2.792991015197224e-35,2.3746889265560105e-94,1.6949238822371927e-11,0.0029856229411612456,0.3913237547709808
seqkit,30,6.122429001151602e-09,1.2862363987923514e-141,8.248668252556394e-12,0.002839054275750285,0.3869548110765192,1.0051749106368302e-08,5.240222365450321e-141,1.5918482592652692e-11,0.0033222975567290575,0.3978040113870758
seqkit,300,2.965013188526557e-48,1.7109735872091725e-86,9.399123346951704e-12,0.0022030176215577235,0.34924418234709476,6.939392568891942e-48,5.3773455598002564e-86,1.6949238822371927e-11,0.002722830768217411,0.3729792238658293
seqkit,400,6.530387677521181e-54,1.5081031845340666e-82,1.1076744637831706e-11,0.0019309653779342568,0.33115257048437774,1.6325969193802953e-53,4.608093063854092e-82,1.9340347780341075e-11,0.0024137067224178207,0.35712532111060347
seqkit,50,0.0009887855327902282,1.0139483132355602e-121,8.441629398489445e-12,0.0027817703070288275,0.3828035699767417,0.001269093647934961,3.9833683734254155e-121,1.6009986790238603e-11,0.0032902659545502263,0.3972489877117131
seqkit,500,6.949188084674562e-79,9.702361701923744e-65,1.073055800200295e-11,0.0014809408471508185,0.29043034819205377,1.9600274084979533e-78,2.5410947314562186e-64,1.903808677774717e-11,0.0018724539446734487,0.31631028020916746
seqkit,5000,6.070194978889231e-153,0.0001630031222466541,9.17555761933381e-11,1.1002924350881303e-05,0.02219582755724312,2.7821726986575645e-152,0.00021602823430279459,1.552786674041106e-10,1.551694459739671e-05,0.025170526095842714
