,Method,Depth,median_evenness_sd,baseline_median_sd,mwu_statistic,p_value,is_significant
6,bbnorm,30,0.2753090745306551,0.8854884430827913,47376.0,1.2297969284383315e-67,True
3,bbnorm,10,0.3430903570487712,0.8854884430827913,47346.0,1.8198729890097672e-67,True
10,bbnorm,50,0.25558392514437256,0.8854884430827913,47311.0,2.8730280623760166e-67,True
2,bbnorm,100,0.2673612686546374,0.8854884430827913,46946.0,3.2251337910892615e-65,True
4,bbnorm,200,0.30453019341544707,0.8854884430827913,46500.0,9.3266266304222e-63,True
5,bbnorm,300,0.31249729968269124,0.8854884430827913,46112.0,1.1788851085528851e-60,True
7,bbnorm,400,0.3187639075380797,0.8854884430827913,45667.0,2.73457941376078e-58,True
9,bbnorm,500,0.32167432695838016,0.8854884430827913,45194.0,7.912896403023177e-56,True
1,bbnorm,1000,0.33372236658214793,0.8854884430827913,43066.0,1.992196680998183e-45,True
8,bbnorm,5000,0.5960314332560072,0.8854884430827913,35410.0,4.280612469191945e-17,True
0,bbnorm,10000,0.7886621883724496,0.8854884430827913,29443.0,5.647982047663132e-05,True
14,seqkit,10,0.9845636770142421,0.8854884430827913,18986.0,9.263631566595586e-05,True
17,seqkit,30,0.9171279221301366,0.8854884430827913,22295.0,0.15329051743288544,False
21,seqkit,50,0.8968008533512413,0.8854884430827913,23070.0,0.39704787331021896,False
13,seqkit,100,0.8882892086018255,0.8854884430827913,23537.0,0.6193680573564415,False
15,seqkit,200,0.8911768305084691,0.8854884430827913,23716.0,0.7169552765356264,False
16,seqkit,300,0.8912286604894621,0.8854884430827913,23876.0,0.808344649208463,False
18,seqkit,400,0.8926893280631865,0.8854884430827913,23976.0,0.8669124954011038,False
20,seqkit,500,0.891587592577268,0.8854884430827913,24008.0,0.8858260052123987,False
12,seqkit,1000,0.8864396798176334,0.8854884430827913,24074.0,0.9250292312899998,False
19,seqkit,5000,0.884296288057704,0.8854884430827913,24294.5,0.9438101440471196,False
11,seqkit,10000,0.8841092392573546,0.8854884430827913,24290.0,0.9464958998617218,False
