method,depth,pvalue_covbases,pvalue_coverage,pvalue_meandepth,pvalue_meanbaseq,pvalue_meanmapq,covbases_pvalue_adj,coverage_pvalue_adj,meandepth_pvalue_adj,meanbaseq_pvalue_adj,meanmapq_pvalue_adj
bbnorm,10000,0.030654448873828066,0.030655790298952264,4.005163313509281e-12,0.9393203038242248,0.11961869892979898,0.04556941801195607,0.04556941801195607,9.790399210800464e-12,1.0,0.1686930369522806
bbnorm,5000,0.02630215151115158,0.026302649109552687,2.1922812056943976e-14,0.9362456654158309,1.7780083205767264e-05,0.04018460280626105,0.04018460280626105,5.88173006405814e-14,1.0,3.5341865095543865e-05
bbnorm,1000,0.0036972793027007875,0.0036972918119384727,3.17274029742031e-16,0.6568055859023205,7.105015104515061e-28,0.005980913225194589,0.005980913225194589,9.432471154492814e-16,0.8601025529673244,6.01193585766659e-27
bbnorm,500,0.001202500175837315,0.0012025712656979172,1.5665398223336562e-16,0.3835344958105674,5.168839518196872e-34,0.002004285442829862,0.002004285442829862,4.786649457130616e-16,0.5208493152983015,5.685723470016559e-33
bbnorm,400,0.0006769570245336591,0.0006769532227612687,1.3431208985899853e-16,0.29475260774571466,8.691771407849729e-35,0.0011635198859172267,0.0011635198859172267,4.3453911424970115e-16,0.40528483565035767,1.062327616514967e-33
bbnorm,300,0.00035994108913526266,0.00035997581131241163,1.145123279749303e-16,0.20754600412465368,1.656789558406507e-36,0.0006386667620058916,0.0006386667620058916,3.8170775991643434e-16,0.28898810700901145,2.2780856428089472e-35
bbnorm,200,0.00013245966384288843,0.00013246298341254795,9.696349607214066e-17,0.11403145444258071,8.29744690628994e-40,0.00024284880292300458,0.00024284880292300458,3.409902457217266e-16,0.1629020777751153,1.303884513845562e-38
bbnorm,100,3.087030468872335e-05,3.0870709024045416e-05,8.115174840372856e-17,0.036649578532460446,1.603531810257124e-44,5.8547896424913724e-05,5.8547896424913724e-05,3.07816976703798e-16,0.0530454426127717,2.9398083188047274e-43
bbnorm,50,3.4179644442006946e-06,3.417916832302064e-06,7.341996266609392e-17,0.019526126159254205,1.2115327699088622e-50,7.093888469095781e-06,7.093888469095781e-06,3.0503321734032554e-16,0.03112860692055018,3.331715117249371e-49
bbnorm,30,8.311093056552657e-07,8.311447434707535e-07,7.033859180723519e-17,0.019836058326357264,4.112076764354295e-54,1.792665132976135e-06,1.792665132976135e-06,3.0503321734032554e-16,0.031170948798561415,1.5077614802632416e-52
bbnorm,10,7.559341435376629e-09,7.558141554926898e-09,6.752136168693732e-17,0.03612696340860696,2.6744331209890247e-48,1.6969950161049573e-08,1.6969950161049573e-08,3.0503321734032554e-16,0.05298621299929021,5.883752866175855e-47
seqkit,10000,0.7764359617592069,0.7764323006348531,2.880858121382102e-14,1.0,0.9211271462693821,0.9596399527360985,0.9596399527360985,7.545104603619791e-14,1.0,1.0
seqkit,5000,0.4108783789573557,0.4108925301552425,2.0811226685558368e-15,0.9938488703080205,0.8740445196183986,0.544556365265984,0.544556365265984,5.723087338528551e-15,1.0,1.0
seqkit,1000,1.7992222230458692e-05,1.7991907252579386e-05,1.4723501007687596e-16,0.9846323672168315,0.811865629575977,3.5341865095543865e-05,3.5341865095543865e-05,4.627386030987531e-16,1.0,0.9819039680074255
seqkit,500,1.1245977611788936e-09,1.124608712251735e-09,9.919716239177501e-17,0.9877062008491558,0.6764298474469774,2.632062943567891e-09,2.632062943567891e-09,3.409902457217266e-16,1.0,0.8694757745973266
seqkit,400,3.4039125589975373e-13,3.404116233964723e-13,8.447080713586182e-17,0.9938535894385779,0.8123023735334156,8.510290584911808e-13,8.510290584911808e-13,3.0972629283149334e-16,1.0,0.9819039680074255
seqkit,300,8.94063014687772e-16,8.940547986108774e-16,7.795007816563828e-17,0.9938567050803739,0.7657422698913761,2.5217161952732032e-15,2.5217161952732032e-15,3.0623244993643615e-16,1.0,0.9596399527360985
seqkit,200,8.588709009913575e-18,8.588218553647142e-18,7.487178971080717e-17,0.98771151763005,0.8894532054551225,4.9724104794236484e-17,4.9724104794236484e-17,3.0503321734032554e-16,1.0,1.0
seqkit,100,1.5518134581891744e-20,1.551843194048945e-20,7.192454256334196e-17,0.9938543229572244,0.8284078241957216,1.0041338314434351e-19,1.0041338314434351e-19,3.0503321734032554e-16,1.0,0.9904876158861889
seqkit,50,8.981248198238177e-27,8.981370418241821e-27,6.909452143469025e-17,0.9938512036878193,0.9064065609503775,6.586338306710669e-26,6.586338306710669e-26,3.0503321734032554e-16,1.0,1.0
seqkit,30,1.0420356734774255e-33,1.0420497057065604e-33,6.799592861407928e-17,0.993843753309132,0.6797719692306372,9.552122302310138e-33,9.552122302310138e-33,3.0503321734032554e-16,1.0,0.8694757745973266
seqkit,10,3.1443643647940552e-62,3.144432417603088e-62,6.691131940319835e-17,0.9969238401801609,0.9845157953269956,1.7294378296816984e-60,1.7294378296816984e-60,3.0503321734032554e-16,1.0,1.0
