#rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,sample,method,depth
MN908947.3,1,29903,59759914,29903,100,265498,36,43.8,UT-UPHL-240124124876,all,all
MN908947.3,1,29903,6260451,29893,99.9666,28163.1,36,43.8,UT-UPHL-240124124876,bbnorm,10000
MN908947.3,1,29903,2222948,29868,99.883,9939.79,35.9,43.6,UT-UPHL-240124124876,bbnorm,5000
MN908947.3,1,29903,465988,29860,99.8562,2013.41,35.6,43.1,UT-UPHL-240124124876,bbnorm,1000
MN908947.3,1,29903,260429,29835,99.7726,1112.3,35.3,42.8,UT-UPHL-240124124876,bbnorm,500
MN908947.3,1,29903,217026,29836,99.7759,925.108,35.2,42.7,UT-UPHL-240124124876,bbnorm,400
MN908947.3,1,29903,171468,29836,99.7759,730.043,35.1,42.6,UT-UPHL-240124124876,bbnorm,300
MN908947.3,1,29903,127178,29835,99.7726,536.782,34.9,42.4,UT-UPHL-240124124876,bbnorm,200
MN908947.3,1,29903,71097,29831,99.7592,298.486,34.6,42.2,UT-UPHL-240124124876,bbnorm,100
MN908947.3,1,29903,33678,29750,99.4883,140.569,34.6,42.1,UT-UPHL-240124124876,bbnorm,50
MN908947.3,1,29903,16127,29732,99.4282,68.0247,34.8,42.3,UT-UPHL-240124124876,bbnorm,30
MN908947.3,1,29903,3598,29717,99.378,15.7484,35.3,42.8,UT-UPHL-240124124876,bbnorm,10
MN908947.3,1,29903,1843746,29853,99.8328,8328.53,36,43.8,UT-UPHL-240124124876,seqkit,10000
MN908947.3,1,29903,919815,29853,99.8328,4158.85,36,43.8,UT-UPHL-240124124876,seqkit,5000
MN908947.3,1,29903,183975,29756,99.5084,833.21,36,43.8,UT-UPHL-240124124876,seqkit,1000
MN908947.3,1,29903,91507,29755,99.5051,414.75,36,43.8,UT-UPHL-240124124876,seqkit,500
MN908947.3,1,29903,54896,29750,99.4883,248.958,36,43.8,UT-UPHL-240124124876,seqkit,400
MN908947.3,1,29903,36562,29747,99.4783,165.782,36,43.8,UT-UPHL-240124124876,seqkit,300
MN908947.3,1,29903,27221,29747,99.4783,123.455,36,43.8,UT-UPHL-240124124876,seqkit,200
MN908947.3,1,29903,18291,29737,99.4449,82.9286,36,43.8,UT-UPHL-240124124876,seqkit,100
MN908947.3,1,29903,9172,29573,98.8964,41.5606,36,43.8,UT-UPHL-240124124876,seqkit,50
MN908947.3,1,29903,5487,29221,97.7193,24.7261,36,43.7,UT-UPHL-240124124876,seqkit,30
MN908947.3,1,29903,1815,27310,91.3286,8.22998,36,43.7,UT-UPHL-240124124876,seqkit,10
MN908947.3,1,29903,68420131,29903,100,303001,35.7,43.5,UT-UPHL-240124217603,all,all
MN908947.3,1,29903,7162978,29903,100,32104.5,35.7,43.5,UT-UPHL-240124217603,bbnorm,10000
MN908947.3,1,29903,2439978,29903,100,10870.4,35.6,43.3,UT-UPHL-240124217603,bbnorm,5000
MN908947.3,1,29903,522909,29886,99.9431,2236.18,35.3,42.7,UT-UPHL-240124217603,bbnorm,1000
MN908947.3,1,29903,321611,29901,99.9933,1326.17,35.1,42.3,UT-UPHL-240124217603,bbnorm,500
MN908947.3,1,29903,274852,29884,99.9365,1127.27,35,42.2,UT-UPHL-240124217603,bbnorm,400
MN908947.3,1,29903,217992,29884,99.9365,900.901,34.9,42.1,UT-UPHL-240124217603,bbnorm,300
MN908947.3,1,29903,162034,29884,99.9365,665.094,34.8,42,UT-UPHL-240124217603,bbnorm,200
MN908947.3,1,29903,87742,29877,99.9131,357.644,34.7,41.9,UT-UPHL-240124217603,bbnorm,100
MN908947.3,1,29903,40064,29845,99.806,162.024,34.8,41.9,UT-UPHL-240124217603,bbnorm,50
MN908947.3,1,29903,19165,29837,99.7793,78.4218,34.9,42.1,UT-UPHL-240124217603,bbnorm,30
MN908947.3,1,29903,3877,29720,99.388,16.6244,35.2,42.5,UT-UPHL-240124217603,bbnorm,10
MN908947.3,1,29903,1826902,29903,100,8159.2,35.7,43.5,UT-UPHL-240124217603,seqkit,10000
MN908947.3,1,29903,917998,29903,100,4089.15,35.7,43.4,UT-UPHL-240124217603,seqkit,5000
MN908947.3,1,29903,183338,29881,99.9264,817.203,35.7,43.4,UT-UPHL-240124217603,seqkit,1000
MN908947.3,1,29903,91063,29815,99.7057,405.385,35.7,43.4,UT-UPHL-240124217603,seqkit,500
MN908947.3,1,29903,54856,29688,99.281,244.097,35.7,43.4,UT-UPHL-240124217603,seqkit,400
MN908947.3,1,29903,36332,29408,98.3446,161.742,35.7,43.4,UT-UPHL-240124217603,seqkit,300
MN908947.3,1,29903,27326,29152,97.4885,121.423,35.7,43.4,UT-UPHL-240124217603,seqkit,200
MN908947.3,1,29903,18305,28431,95.0774,81.3113,35.7,43.4,UT-UPHL-240124217603,seqkit,100
MN908947.3,1,29903,9176,27434,91.7433,40.8615,35.7,43.5,UT-UPHL-240124217603,seqkit,50
MN908947.3,1,29903,5477,26551,88.7904,24.3954,35.7,43.5,UT-UPHL-240124217603,seqkit,30
MN908947.3,1,29903,1812,24274,81.1758,8.13507,35.7,43.4,UT-UPHL-240124217603,seqkit,10
MN908947.3,1,29903,68926176,29903,100,303362,36,43.8,UT-UPHL-240124288971,all,all
MN908947.3,1,29903,7187932,29903,100,32816.3,36,43.8,UT-UPHL-240124288971,bbnorm,10000
MN908947.3,1,29903,2377195,29895,99.9732,10789.5,35.9,43.6,UT-UPHL-240124288971,bbnorm,5000
MN908947.3,1,29903,443425,29886,99.9431,1973.59,35.7,43.2,UT-UPHL-240124288971,bbnorm,1000
MN908947.3,1,29903,247507,29884,99.9365,1089.86,35.5,43,UT-UPHL-240124288971,bbnorm,500
