Pango lineage,,,,,,,,,,,,,,,,,,,
taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note,pango_lineage_unaliased,sample,method,depth
Consensus_UT-UPHL-240124124876_bbnorm_10000_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,10000
Consensus_UT-UPHL-240124124876_bbnorm_1000_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,1000
Consensus_UT-UPHL-240124124876_bbnorm_100_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.94,0.01,scorpio call: Alt alleles 79; Ref alleles 1; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,100
Consensus_UT-UPHL-240124124876_bbnorm_10_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.85,0.01,scorpio call: Alt alleles 71; Ref alleles 1; Amb alleles 9; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.12,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,10
Consensus_UT-UPHL-240124124876_bbnorm_200_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.94,0.01,scorpio call: Alt alleles 79; Ref alleles 1; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,200
Consensus_UT-UPHL-240124124876_bbnorm_300_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,300
Consensus_UT-UPHL-240124124876_bbnorm_30_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.94,0.01,scorpio call: Alt alleles 79; Ref alleles 1; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,30
Consensus_UT-UPHL-240124124876_bbnorm_400_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,400
Consensus_UT-UPHL-240124124876_bbnorm_5000_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,5000
Consensus_UT-UPHL-240124124876_bbnorm_500_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,500
Consensus_UT-UPHL-240124124876_bbnorm_50_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.94,0.01,scorpio call: Alt alleles 79; Ref alleles 1; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,bbnorm,50
Consensus_UT-UPHL-240124124876_raw_all_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,raw,all
Consensus_UT-UPHL-240124124876_seqkit_10000_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,10000
Consensus_UT-UPHL-240124124876_seqkit_1000_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,1000
Consensus_UT-UPHL-240124124876_seqkit_100_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.88,0.01,scorpio call: Alt alleles 74; Ref alleles 1; Amb alleles 6; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,100
Consensus_UT-UPHL-240124124876_seqkit_10_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.38,0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 20; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.65,,Unassigned,UT-UPHL-240124124876,seqkit,10
Consensus_UT-UPHL-240124124876_seqkit_200_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.9,0.01,scorpio call: Alt alleles 76; Ref alleles 1; Amb alleles 4; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,200
Consensus_UT-UPHL-240124124876_seqkit_300_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.9,0.01,scorpio call: Alt alleles 76; Ref alleles 1; Amb alleles 4; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,300
Consensus_UT-UPHL-240124124876_seqkit_30_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.81,0.01,scorpio call: Alt alleles 68; Ref alleles 1; Amb alleles 12; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.23,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,30
Consensus_UT-UPHL-240124124876_seqkit_400_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.93,0.01,scorpio call: Alt alleles 78; Ref alleles 1; Amb alleles 2; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,400
Consensus_UT-UPHL-240124124876_seqkit_5000_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,5000
Consensus_UT-UPHL-240124124876_seqkit_500_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.95,0.01,scorpio call: Alt alleles 80; Ref alleles 1; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,500
